# seed=42 dt=0.00416667 updates_per_sample=262144 timed_samples=11
# sizeof_transform=40 sizeof_hull=192 sizeof_bounds=24 sizeof_mat4=64 sizeof_fat_object=480 components_per_entity=7
# cpu=Apple_M4 memsize=25769803776
# l1d=131072 l2=16777216
layout,mode,n,ns_per_entity,entities_per_us,effective_gbps
view,hot,1000,13.5576,73.76,29.504
get,hot,1000,29.1148,34.35,13.739
oop,hot,1000,14.1986,70.43,28.172
fat_aos,hot,1000,10.3847,96.30,38.518
view,evict,1000,14.6857,68.09,27.237
get,evict,1000,41.6301,24.02,9.608
oop,evict,1000,26.5165,37.71,15.085
fat_aos,evict,1000,13.6988,73.00,29.200
view,hot,2000,11.4935,87.01,34.802
get,hot,2000,25.6123,39.04,15.618
oop,hot,2000,17.0455,58.67,23.467
fat_aos,hot,2000,11.0550,90.46,36.183
view,evict,2000,14.1163,70.84,28.336
get,evict,2000,41.7552,23.95,9.580
oop,evict,2000,26.2161,38.14,15.258
fat_aos,evict,2000,14.9800,66.76,26.702
view,hot,4000,11.2343,89.01,35.605
get,hot,4000,27.6258,36.20,14.479
oop,hot,4000,18.0436,55.42,22.169
fat_aos,hot,4000,11.0271,90.69,36.274
view,evict,4000,13.2960,75.21,30.084
get,evict,4000,41.1619,24.29,9.718
oop,evict,4000,26.9147,37.15,14.862
fat_aos,evict,4000,15.6610,63.85,25.541
view,hot,8000,11.2191,89.13,35.654
get,hot,8000,29.2344,34.21,13.683
oop,hot,8000,17.4066,57.45,22.980
fat_aos,hot,8000,10.9154,91.61,36.646
view,evict,8000,13.4202,74.51,29.806
get,evict,8000,41.2469,24.24,9.698
oop,evict,8000,27.2329,36.72,14.688
fat_aos,evict,8000,21.9570,45.54,18.217
view,hot,16000,11.2111,89.20,35.679
get,hot,16000,28.9709,34.52,13.807
oop,hot,16000,18.1790,55.01,22.003
fat_aos,hot,16000,10.8983,91.76,36.703
view,evict,16000,13.3916,74.67,29.869
get,evict,16000,39.8065,25.12,10.049
oop,evict,16000,26.5195,37.71,15.083
fat_aos,evict,16000,20.9618,47.71,19.082
view,hot,32000,11.2824,88.63,35.453
get,hot,32000,29.6478,33.73,13.492
oop,hot,32000,20.5881,48.57,19.429
fat_aos,hot,32000,13.6266,73.39,29.354
view,evict,32000,12.2158,81.86,32.744
get,evict,32000,40.8945,24.45,9.781
oop,evict,32000,30.8288,32.44,12.975
fat_aos,evict,32000,67.9429,14.72,5.887
view,hot,64000,14.4222,69.34,27.735
get,hot,64000,46.6226,21.45,8.580
oop,hot,64000,35.6816,28.03,11.210
fat_aos,hot,64000,17.5150,57.09,22.838
view,evict,64000,14.2070,70.39,28.155
get,evict,64000,53.6354,18.64,7.458
oop,evict,64000,38.6951,25.84,10.337
fat_aos,evict,64000,50.1943,19.92,7.969
view,hot,128000,13.5184,73.97,29.589
get,hot,128000,58.3779,17.13,6.852
oop,hot,128000,53.9577,18.53,7.413
fat_aos,hot,128000,69.7248,14.34,5.737
view,evict,128000,17.3359,57.68,23.073
get,evict,128000,69.2109,14.45,5.779
oop,evict,128000,81.5015,12.27,4.908
fat_aos,evict,128000,74.2541,13.47,5.387
view,hot,256000,17.1652,58.26,23.303
get,hot,256000,74.4989,13.42,5.369
oop,hot,256000,89.1325,11.22,4.488
fat_aos,hot,256000,76.3063,13.11,5.242
view,evict,256000,18.0348,55.45,22.179
get,evict,256000,84.8739,11.78,4.713
oop,evict,256000,95.0396,10.52,4.209
fat_aos,evict,256000,77.0075,12.99,5.194
view,hot,512000,17.7930,56.20,22.481
get,hot,512000,121.2410,8.25,3.299
oop,hot,512000,147.4296,6.78,2.713
fat_aos,hot,512000,75.4130,13.26,5.304
view,evict,512000,17.7244,56.42,22.568
get,evict,512000,130.5973,7.66,3.063
oop,evict,512000,148.1855,6.75,2.699
fat_aos,evict,512000,76.5490,13.06,5.225
view,hot,1000000,17.9269,55.78,22.313
get,hot,1000000,162.8798,6.14,2.456
oop,hot,1000000,160.0689,6.25,2.499
fat_aos,hot,1000000,76.4460,13.08,5.232
view,evict,1000000,17.8948,55.88,22.353
get,evict,1000000,164.5430,6.08,2.431
oop,evict,1000000,159.8493,6.26,2.502
fat_aos,evict,1000000,76.5944,13.06,5.222
